produce,"
★★★<BR>pro&middot;duce produces producing produced The verb is pronounced The noun is pronounced and is hyphenated prod&middot;uce.<BR> <B>1.</B> <FONT color='#800000'>[VERB: V n, V n]</FONT><BR> To <B>produce</B> something means to cause it to happen.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The drug is known to produce side-effects in women...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Talks aimed at producing a new world trade treaty have been under way for six years.</FONT><BR> <B>2.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If you <B>produce</B> something, you make or create it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The company produced circuitry for communications systems...</FONT><BR> <B>3.</B> <FONT color='#800000'>[VERB: V n, V-ed]</FONT><BR> When things or people <B>produce</B> something, it comes from them or slowly forms from them, especially as the result of a biological or chemical process.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; These plants are then pollinated and allowed to mature and produce seed.</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...gases produced by burning coal and oil.</FONT><BR> <B>4.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If you <B>produce</B> evidence or an argument, you show it or explain it to people in order to make them agree with you.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; They challenged him to produce evidence to support his allegations...</FONT><BR> <B>5.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If you <B>produce</B> an object from somewhere, you show it or bring it out so that it can be seen.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; To hire a car you must produce a passport and a current driving licence...</FONT><BR> <B>6.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If someone <B>produces</B> something such as a film, a magazine, or a CD, they organize it and decide how it should be done.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; He has produced his own sports magazine called Yes Sport...</FONT><BR> <B>7.</B> <FONT color='#800000'>[N-UNCOUNT]</FONT><BR> <B>Produce</B> is food or other things that are grown in large quantities to be sold.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; We manage to get most of our produce in Britain...</FONT><BR>"
parasol,"
para&middot;sol parasols<BR><FONT color='#800000'>[N-COUNT]</FONT><BR> A <B>parasol</B> is an object like an umbrella that provides shade from the sun.<BR> = <FONT color='#008080'><B>sunshade</B></FONT><BR>"
cover,"
★★★<BR>cov&middot;er covers covering covered<BR> <B>1.</B> <FONT color='#800000'>[VERB: V n <I>with</I> n, V n, V-ed]</FONT><BR> If you <B>cover</B> something, you place something else over it in order to protect it, hide it, or close it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Cover the casserole with a tight-fitting lid...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; He whimpered and covered his face...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Keep what's left in a covered container in the fridge.</FONT><BR> <B>2.</B> <FONT color='#800000'>[VERB: V n, be V-ed <I>with</I> n]</FONT><BR> If one thing <B>covers</B> another, it has been placed over it in order to protect it, hide it, or close it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; His finger went up to touch the black patch which covered his left eye...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; His head was covered with a khaki turban.</FONT><BR> <B>3.</B> <FONT color='#800000'>[VERB: V n, <I>be</I> V-ed <I>with/in</I> n]</FONT><BR> If one thing <B>covers</B> another, it forms a layer over its surface.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The clouds had spread and nearly covered the entire sky...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The desk was covered with papers...</FONT><BR> <B>4.</B> <FONT color='#800000'>[VERB: V n <I>with/in</I> n]</FONT><BR> To <B>cover</B> something <B>with</B> or <B>in</B> something else means to put a layer of the second thing over its surface.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The trees in your garden may have covered the ground with apples, pears or plums...</FONT><BR> <B>5.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If you <B>cover</B> a particular distance, you travel that distance.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; It would not be easy to cover ten miles on that amount of petrol...</FONT><BR> <B>6.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> To <B>cover</B> someone or something means to protect them from attack, for example by pointing a gun in the direction of people who may attack them, ready to fire the gun if necessary.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; You go first. I'll cover you.</FONT><BR> <B>7.</B> <FONT color='#800000'>[N-UNCOUNT]</FONT><BR> <B>Cover</B> is protection from enemy attack that is provided for troops or ships carrying out a particular operation, for example by aircraft.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; They said they could not provide adequate air cover for ground operations.</FONT><BR> = <FONT color='#008080'><B>protection</B></FONT><BR> <B>8.</B> <FONT color='#800000'>[N-UNCOUNT]</FONT><BR> <B>Cover</B> is trees, rocks, or other places where you shelter from the weather or from an attack, or hide from someone.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Charles lit the fuses and they ran for cover.</FONT><BR> = <FONT color='#008080'><B>shelter</B></FONT><BR> <B>9.</B> <FONT color='#800000'>[VERB: V n, V n <I>against</I> n]</FONT><BR> An insurance policy that <B>covers</B> a person or thing guarantees that money will be paid by the insurance company in relation to that person or thing.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Their insurer paid the &pound;900 bill, even though the policy did not strictly cover it...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; You should take out travel insurance covering you and your family against theft.</FONT><BR> <B>10.</B> <FONT color='#800000'>[N-UNCOUNT]</FONT><BR> Insurance <B>cover</B> is a guarantee from an insurance company that money will be paid by them if it is needed.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Make sure that the firm's insurance cover is adequate.</FONT><BR> = <FONT color='#008080'><B>protection</B></FONT><BR> <B>11.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If a law <B>covers</B> a particular set of people, things, or situations, it applies to them.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The law covers four categories of experiments...</FONT><BR> <B>12.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If you <B>cover</B> a particular topic, you discuss it in a lecture, course, or book.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The Oxford Chemistry Primers aim to cover important topics in organic chemistry...</FONT><BR> = <FONT color='#008080'><B>deal with</B></FONT><BR> <B>13.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If journalists, newspapers, or television companies <B>cover</B> an event, they report on it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Robinson was sent to Italy to cover the 1990 World Cup...</FONT><BR> <B>14.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If a sum of money <B>covers</B> something, it is enough to pay for it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Send it to the address given with &pound;1.50 to cover postage and administration...</FONT><BR> <B>15.</B> <FONT color='#800000'>[N-COUNT: oft n N]</FONT><BR> A <B>cover</B> is something which is put over an object, usually in order to protect it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...a family room with washable covers on the furniture.</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...a duvet cover.</FONT><BR> <B>16.</B> <FONT color='#800000'>[N-PLURAL: usu <I>the</I> N]</FONT><BR> The <B>covers</B> on your bed are the things such as sheets and blankets that you have on top of you.<BR> = <FONT color='#008080'><B>bedclothes</B></FONT><BR> <B>17.</B> <FONT color='#800000'>[N-COUNT]</FONT><BR> The <B>cover</B> of a book or a magazine is the outside part of it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...a small spiral-bound booklet with a green cover...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; I used to read every issue from cover to cover.</FONT><BR> <B>18.</B> <FONT color='#800000'>[N-COUNT: usu sing]</FONT><BR> Something that is a <B>cover</B> for secret or illegal activities seems respectable or normal, and is intended to hide the activities.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; They set up a spurious temple that was a cover for sexual debauchery...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; As a cover story he generally tells people he is a freelance photographer.</FONT><BR> = <FONT color='#008080'><B>front</B></FONT><BR> <B>19.</B> <FONT color='#800000'>[VERB: V <I>for</I> n]</FONT><BR> If you <B>cover for</B> someone who is doing something secret or illegal, you give false information or do not give all the information you have, in order to protect them.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Why would she cover for someone who was trying to kill her?</FONT><BR> <B>20.</B> <FONT color='#800000'>[VERB: V <I>for</I> n]</FONT><BR> If you <B>cover for</B> someone who is ill or away, you do their work for them while they are not there.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; She did not have enough nurses to cover for those who went ill or took holiday.</FONT><BR> <B>21.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> To <B>cover</B> a song originally performed by someone else means to record a new version of it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; He must make a decent living from other artists covering his songs.</FONT><BR> <B>22.</B> <FONT color='#800000'>[N-COUNT: usu N <I>of</I> n]</FONT><BR> A <B>cover</B> is the same as a <B>cover version</B>.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The single is a cover of an old Rolling Stones song.</FONT><BR> <I>see also</I> <B>covered</B>, <B>covering</B><BR> <B>24.</B> <FONT color='#800000'>[PHRASE: V inflects]</FONT><BR> To <B>blow</B> someone's <B>cover</B> means to cause their true identity or the true nature of their work to be revealed. <FONT color='#000080'>(INFORMAL)</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The young man looked embarrassed, as if he were a spy whose cover had been blown.</FONT><BR> <B>25.</B> <FONT color='#800000'>[PHRASE: V inflects]</FONT><BR> If you <B>break cover</B>, you leave a place where you have been hiding or sheltering from attack, usually in order to run to another place.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; They began running again, broke cover and dashed towards the road.</FONT><BR> <B>26.</B> <FONT color='#800000'>[PHRASE: V inflects, oft PHR prep]</FONT><BR> If you <B>take cover</B>, you shelter from gunfire, bombs, or the weather.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Shoppers took cover behind cars as police marksmen returned fire.</FONT><BR> = <FONT color='#008080'><B>shelter</B></FONT><BR> <B>27.</B> <FONT color='#800000'>[PHRASE: PHR after v, v-link PHR]</FONT><BR> If you are <B>under cover</B>, you are under something that protects you from gunfire, bombs, or the weather.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; `Get under cover!' shouted Billy, and we darted once more for the tables.</FONT><BR> <B>28.</B> <FONT color='#800000'>[PREP-PHRASE]</FONT><BR> If you do something <B>under cover of</B> a particular situation, you are able to do it without being noticed because of that situation.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; They move under cover of darkness.</FONT><BR> <B>29.</B> <FONT color='#800000'>[PHRASE: V inflects]</FONT><BR> If you <B>cover</B> your <B>back</B> or <B>cover</B> your <B>rear</B>, you do something in order to protect yourself, for example against criticism or against accusations of doing something wrong.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The canny Premier covered his back by pointing out that he was of Scottish stock.</FONT><BR>"
courteous,"
cour&middot;teous<BR><FONT color='#800000'>[ADJ]</FONT><BR> Someone who is <B>courteous</B> is polite and respectful to other people.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; He was a kind and courteous man...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; My friend's reply was courteous but firm.</FONT><BR> = <FONT color='#008080'><B>polite</B></FONT><BR> <B>+</B> <B><DFN>courteously</DFN></B> cour&middot;teous&middot;ly <FONT color='#800000'>[ADV: usu ADV with v, also ADV adj]</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Then he nodded courteously to me and walked off to perform his unpleasant duty.</FONT><BR>"
faculty,"
fac&middot;ul&middot;ty faculties<BR><B>1.</B> <FONT color='#800000'>[N-COUNT: usu pl, oft poss N, N <I>of</I> n]</FONT><BR> Your <B>faculties</B> are your physical and mental abilities.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; He was drunk and not in control of his faculties...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; It is also a myth that the faculty of hearing is greatly increased in blind people.</FONT><BR> <B>2.</B> <FONT color='#800000'>[N-VAR]</FONT><BR> A <B>faculty</B> is a group of related departments in some universities, or the people who work in them. <FONT color='#000080'>(BRIT)</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...the Faculty of Social and Political Sciences.</FONT><BR> <B>3.</B> <FONT color='#800000'>[N-VAR: oft N n]</FONT><BR> A <B>faculty</B> is all the teaching staff of a university or college, or of one department. <FONT color='#000080'>(AM)</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The faculty agreed on a change in the requirements...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; How can faculty improve their teaching so as to encourage creativity?</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...eminent Stanford faculty members.</FONT><BR>"
supreme,"
★★<BR>su&middot;preme<BR> <B>1.</B> <FONT color='#800000'>[ADJ: ADJ n]</FONT><BR> <B>Supreme</B> is used in the title of a person or an official group to indicate that they are at the highest level in a particular organization or system.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; MacArthur was Supreme Commander for the allied powers in the Pacific.</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...the Supreme Court.</FONT><BR> <B>2.</B> <FONT color='#800000'>[ADJ]</FONT> emphasis<BR> You use <B>supreme</B> to emphasize that a quality or thing is very great.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Her approval was of supreme importance...</FONT><BR> <B>+</B> <B><DFN>supremely</DFN></B> su&middot;preme&middot;ly <FONT color='#800000'>[ADV: ADV adj/adv]</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; She gets on with her job and does it supremely well.</FONT><BR>"
improvise,"
im&middot;pro&middot;vise improvises improvising improvised<BR><B>1.</B> <FONT color='#800000'>[VERB: V, V n, V-ed]</FONT><BR> If you <B>improvise</B>, you make or do something using whatever you have or without having planned it in advance.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; You need a wok with a steaming rack for this; if you don't have one, improvise...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The vet had improvised a harness...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...an improvised stone shelter.</FONT><BR> <B>+</B> <B><DFN>improvisation</DFN></B> improvisations im&middot;provi&middot;sa&middot;tion <FONT color='#800000'>[N-VAR]</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Funds were not abundant and clever improvisation was necessary.</FONT><BR> <B>2.</B> <FONT color='#800000'>[VERB: V, V n, V <I>on</I> n]</FONT><BR> When performers <B>improvise</B>, they invent music or words as they play, sing, or speak.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; I asked her what the piece was and she said, `Oh, I'm just improvising'...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Uncle Richard intoned a chapter from the Bible and improvised a prayer...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; I think that the art of a storyteller is to take the story and improvise on it.</FONT><BR> <B>+</B> <B><DFN>improvisation</DFN></B> improvisations im&middot;provi&middot;sa&middot;tion <FONT color='#800000'>[N-VAR: oft N <I>on</I> n]</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...an improvisation on `Jingle Bells'.</FONT><BR>"
officiate,"
of&middot;fi&middot;ci&middot;ate officiates officiating officiated<BR><B>1.</B> <FONT color='#800000'>[VERB: V <I>at</I> n, V]</FONT><BR> When someone <B>officiates</B> <B>at</B> a ceremony or formal occasion, they are in charge and perform the official part of it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Bishop Silvester officiated at the funeral...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; A memorial service was held yesterday at Wadhurst Parish Church. The Rev Michael Inch officiated.</FONT><BR> <B>2.</B> <FONT color='#800000'>[VERB: V <I>at</I> n, V, also V <I>in</I> n]</FONT><BR> When someone <B>officiates</B> <B>at</B> a sports match or competition, they are in charge and make sure the players do not break the rules.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Mr Ellis was selected to officiate at a cup game between Grimsby and Rotherham...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Frik Burger will officiate when the Pumas play Scotland.</FONT><BR>"
displays,"
★★<BR>dis&middot;play displays displaying displayed<BR> <B>1.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If you <B>display</B> something that you want people to see, you put it in a particular place, so that people can see it easily.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Among the protesters and war veterans proudly displaying their medals was Aubrey Rose...</FONT><BR> = <FONT color='#008080'><B>exhibit</B></FONT><BR> <FONT color='#800000'>[N-UNCOUNT: oft <I>on</I> N]</FONT><BR> <B>Display</B> is also a noun.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Most of the other artists whose work is on display were his pupils or colleagues.</FONT><BR> <B>2.</B> <FONT color='#800000'>[VERB: V n <I>to</I> n, V n]</FONT><BR> If you <B>display</B> something, you show it to people.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; She displayed her wound to the twelve gentlemen of the jury...</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; The chart can then display the links connecting these groups.</FONT><BR> = <FONT color='#008080'><B>show</B></FONT><BR> <B>3.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> If you <B>display</B> a characteristic, quality, or emotion, you behave in a way which shows that you have it.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; He has displayed remarkable courage in his efforts to reform the party.</FONT><BR> = <FONT color='#008080'><B>show</B></FONT><BR> <FONT color='#800000'>[N-VAR: oft N <I>of</I> n]</FONT><BR> <B>Display</B> is also a noun.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; Normally, such an outward display of affection is reserved for his mother.</FONT><BR> = <FONT color='#008080'><B>show</B></FONT><BR> <B>4.</B> <FONT color='#800000'>[VERB: V n]</FONT><BR> When a computer <B>displays</B> information, it shows it on a screen.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; They started out by looking at the computer screens which display the images...</FONT><BR> <B>5.</B> <FONT color='#800000'>[N-COUNT: oft N <I>of</I> n]</FONT><BR> A <B>display</B> is an arrangement of things that have been put in a particular place, so that people can see them easily.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...a display of your work...</FONT><BR> <B>6.</B> <FONT color='#800000'>[N-COUNT: with supp]</FONT><BR> A <B>display</B> is a public performance or other event which is intended to entertain people.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; ...gymnastic displays.</FONT><BR> <B>7.</B> <FONT color='#800000'>[N-COUNT: usu sing]</FONT><BR> The <B>display</B> on a computer screen is the information that is shown there. The screen itself can also be referred to as the <B>display</B>.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; A hard copy of the screen display can also be obtained from a printer.</FONT><BR> <I>see also</I> <B>liquid crystal display</B><BR>"
appliance,"
ap&middot;pli&middot;ance appliances<BR><B>1.</B> <FONT color='#800000'>[N-COUNT]</FONT><BR> An <B>appliance</B> is a device or machine in your home that you use to do a job such as cleaning or cooking. Appliances are often electrical. <FONT color='#000080'>(FORMAL)</FONT><BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; He could also learn to use the vacuum cleaner, the washing machine and other household appliances.</FONT><BR> <B>2.</B> <FONT color='#800000'>[N-SING: usu N <I>of</I> n]</FONT><BR> The <B>appliance</B> of a skill or of knowledge is its use for a particular purpose.<BR> <FONT color='#008000'>&nbsp;&nbsp;&nbsp; These advances were the result of the intellectual appliance of science.</FONT><BR>"
