produce,"
pro·duce <font color=""blue""><i>verb</i></font>, <font color=""blue""><i>noun</i></font><br><font color=""blue"">￮ <i>verb</i></font><br>[vn]<br>/   prəˈdjuːs; <i>NAmE </i>   -ˈduːs/<br><b>GOODS</b><br><img src=""9DB12AFC.bmp""> to make things to be sold, especially in large quantities<br><font color=""#47A1EA""><b> SYN </b></font> manufacture:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>a factory that produces microchips </i></font><br>---see also <a href=""bword://mass-produce"">mass-produce</a> ￫ note at make, product<br><b>MAKE NATURALLY</b><br><img src=""7E3D5398.bmp""> to grow or make sth as part of a natural process; to have a baby or young animal:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The region produces over 50% of the country's wheat.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Our cat produced kittens last week.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Her duty was to produce an heir to the throne. </i></font><br><b>CREATE WITH SKILL</b><br><img src=""549ED5A0.bmp""> to create sth, especially when skill is needed:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>She produced a delicious meal out of a few leftovers. </i></font><br><b>RESULT / EFFECT</b><br><img src=""89689BCF.bmp""> to cause a particular result or effect<br><font color=""#47A1EA""><b> SYN </b></font> bring about:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>A phone call to the manager produced the result she wanted.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>The drug produces a feeling of excitement. </i></font><br><b>SHOW / BRING OUT</b><br><img src=""0E558F21.bmp""> <b>produce sth (from / out of sth)</b> to show sth or make sth appear from somewhere:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>He produced a letter from his pocket.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>At the meeting the finance director produced the figures for the previous year. </i></font><br><b>PERSON</b><br><img src=""410E0CED.bmp""> if a town, country, etc. produces sb with a particular skill or quality, the person comes from that town, country, etc.:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>He is the greatest athlete this country has ever produced. </i></font><br><b>MOVIE / PLAY</b><br><img src=""7AAB4C31.bmp""> to be in charge of preparing a film / movie, play, etc. for the public to see:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>She produced a TV series about adopted children. </i></font><br><font color=""blue"">￮ <i>noun</i></font><br>/   ˈprɒdjuːs; <i>NAmE </i>   ˈprɑːduːs; ˈproʊ-/ [U] things that have been made or grown, especially things connected with farming:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>farm produce  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>The shop sells only fresh local produce.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>It says on the label ‘Produce of France'. </i></font><br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>produce<br> late Middle English (in sense 5 of the verb): from Latin producere, from pro- forward + ducere to lead. Current noun senses date from the late 17th cent.<br>▼ WORD FAMILY<br>produce verb<br>produce noun<br>producer noun<br>production noun<br>productive adjective (≠ unproductive)<br>"
parasol,"
para·sol<br>/   ˈpærəsɒl; <i>NAmE </i>   -sɔːl; -sɑːl/<br> <font color=""blue""><i>noun</i></font><br><img src=""9DB12AFC.bmp""> a type of light umbrella that women in the past carried to protect themselves from the sun<br><img src=""7E3D5398.bmp""> a large umbrella that is used for example on beaches or outside restaurants to protect people from hot sun<br>---compare sunshade<br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>parasol<br> early 17th cent.: from French, from Italian parasole, from para- protecting against + sole sun (from Latin sol).<br>"
cover,"
cover<br>/   ˈkʌvə(r); <i>NAmE </i>   /<br> <font color=""blue""><i>verb</i></font>, <font color=""blue""><i>noun</i></font><br><font color=""blue"">￮ <i>verb</i></font><br><b>HIDE / PROTECT</b><br><img src=""9DB12AFC.bmp""> [vn] <b>cover sth (with sth)</b> to place sth over or in front of sth in order to hide or protect it:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>Cover the chicken loosely with foil.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>She covered her face with her hands.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>(<font color=""green"">figurative</font>) He laughed to cover (= hide) his nervousness. </i></font><br>￫ note at hide<br><b>SPREAD OVER SURFACE</b><br><img src=""7E3D5398.bmp""> [vn] to lie or spread over the surface of sth:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>Snow covered the ground.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Much of the country is covered by forest. </i></font><br><img src=""549ED5A0.bmp""> [vn] <b>cover sb/sth in / with sth</b> to put or spread a layer of liquid, dust, etc. on sb/sth:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The players were soon covered in mud.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>The wind blew in from the desert and covered everything with sand. </i></font><br><b>INCLUDE</b><br><img src=""89689BCF.bmp""> [vn] to include sth; to deal with sth:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The survey covers all aspects of the business.</i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>The lectures <b>covered</b> a lot of <b>ground</b> (= a lot of material, subjects, etc.).  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>the sales team covering the northern part of the country (= selling to people in that area)  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Do the rules cover (= do they apply to) a case like this? </i></font><br><b>MONEY</b><br><img src=""0E558F21.bmp""> [vn] to be or provide enough money for sth:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>$100 should cover your expenses.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Your parents will have to cover your tuition fees.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>The show barely <b>covered its costs</b>. </i></font><br><b>DISTANCE / AREA</b><br><img src=""410E0CED.bmp""> [vn] to travel the distance mentioned:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>By sunset we had covered thirty miles.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>They walked for a long time and <b>covered</b> a good deal of <b>ground</b>. </i></font><br><img src=""7AAB4C31.bmp""> [vn] to spread over the area mentioned:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The reserve covers an area of some 1 140 square kilometres. </i></font><br><b>REPORT NEWS</b><br><img src=""A06EADB1.bmp""> [vn] to report on an event for television, a newspaper, etc.; to show an event on television:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>She's covering the party's annual conference.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>The BBC will cover all the major games of the tournament. </i></font><br><b>FOR SB</b><br><img src=""87508155.bmp""> [v] <b>cover for sb</b> to do sb's work or duties while they are away:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>I'm covering for Jane while she's on leave. </i></font><br><img src=""E4EF9F06.bmp""> [v] <b>cover for sb</b> to invent a lie or an excuse that will stop sb from getting into trouble:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>I have to go out for a minute---will you cover for me if anyone asks where I am? </i></font><br><b>WITH INSURANCE</b><br><img src=""BF95C188.bmp""> <b>cover sb/sth (against / for sth)</b> to protect sb against loss, injury, etc. by insurance:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>[vn] Are you fully covered for fire and theft?</i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>[vn <b>to</b> inf] Does this policy cover my husband to drive? </i></font><br><b>AGAINST BLAME</b><br><img src=""0D2F4E31.bmp""> [vn] <b>cover yourself (against sth)</b> to take action in order to protect yourself against being blamed for sth:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>One reason doctors take temperatures is to cover themselves against negligence claims. </i></font><br><b>WITH GUN</b><br><img src=""03B79B23.bmp""> [vn] to protect sb by threatening to shoot at anyone who tries to attack them:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>Cover me while I move forward. </i></font><br><img src=""ADD4F1D3.bmp""> [vn] to aim a gun at a place or person so that nobody can escape or shoot:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The police covered the exits to the building.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Don't move---we've <b>got you covered</b>! </i></font><br><b>SONG</b><br><img src=""AE1FF556.bmp""> [vn] to record a new version of a song that was originally recorded by another band or singer:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>They've covered an old Rolling Stones number. </i></font><br>[<font color=""#47A1EA""><b> IDIOMS </b></font>]<br><b>cover all the ˈbases</b><br>to consider and deal with all the things that could happen or could be needed when you are arranging sth<br><b>cover your ˈback</b> (<font color=""green"">informal</font>) (<i>NAmE</i> also cover your ˈass, taboo, slang)<br>to realize that you may be blamed or criticized for sth later and take action to avoid this:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>Get everything in writing in order to cover your back. </i></font><br><b>cover your ˈtracks</b><br>to try and hide what you have done, because you do not want other people to find out about it:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>He had attempted to cover his tracks by making her death appear like suicide. </i></font><br>---more at multitude<br>[<b> PHRASAL VERBS </b>]<br><b>ˌcover sth↔ˈin</b><br>to put a covering or roof over an open space<br><b>ˌcover sth↔ˈover</b><br>to cover sth completely so that it cannot be seen<br><font color=""#47A1EA""><b> SYN </b></font> conceal:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The Roman remains are now covered over by office buildings. </i></font><br><b>ˌcover ˈup</b> | <b>ˌcover yourself ˈup</b><br>to put on more clothes<br><b>ˌcover sth↔ˈup</b><br><img src=""9DB12AFC.bmp""> to cover sth completely so that it cannot be seen:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>He covered up the body with a sheet. </i></font><br><img src=""7E3D5398.bmp""> (<font color=""green"">disapproving</font>) to try to stop people from knowing the truth about a mistake, a crime, etc.<br>---related noun <a href=""bword://cover-up"">cover-up</a><br><font color=""blue"">￮ <i>noun</i></font><br><b>PROTECTION / SHELTER</b><br><img src=""9DB12AFC.bmp""> [C] a thing that is put over or on another thing, usually to protect it or to decorate it:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>a cushion cover  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>a plastic waterproof cover for the stroller </i></font><br>---picture at <a href=""bword://Petri dish"">Petri dish</a>---see also <a href=""bword://dust cover"">dust cover</a>, <a href=""bword://loose cover"">loose cover</a><br><img src=""7E3D5398.bmp""> [U] a place that provides shelter from bad weather or protection from an attack:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>Everyone ran <b>for cover</b> when it started to rain.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>The climbers <b>took cover</b> from the storm in a cave.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>After the explosion the street was full of people <b>running for cover</b>. </i></font><br><b>OF BOOK</b><br><img src=""549ED5A0.bmp""> [C] the outside of a book or a magazine:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>the <b>front / back cover</b>  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Her face was <b>on the cover</b> (= the front cover) of every magazine.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>He always reads the paper <b>from cover to cover</b> (= everything in it). </i></font><br><b>INSURANCE</b><br><img src=""89689BCF.bmp""> (<i>BrE</i>) (<i>NAmE</i> cov·er·age) [U] <b>cover (against sth)</b> protection that an insurance company provides by promising to pay you money if a particular event happens:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>accident cover  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>cover against accidental damage </i></font><br><b>WITH WEAPONS</b><br><img src=""0E558F21.bmp""> [U] support and protection that is provided when sb is attacking or in danger of being attacked:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The ships needed air cover (= protection by military planes) once they reached enemy waters. </i></font><br><b>TREES / PLANTS</b><br><img src=""410E0CED.bmp""> [U] trees and plants that grow on an area of land:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The total forest cover of the earth is decreasing. </i></font><br><b>CLOUD / SNOW</b><br><img src=""7AAB4C31.bmp""> [U] the fact of the sky being covered with cloud or the ground with snow:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>Fog and low cloud cover are expected this afternoon.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>In this area there is snow cover for six months of the year. </i></font><br><b>ON BED</b><br><img src=""A06EADB1.bmp""> the covers [pl.] the sheets, blankets, etc. on a bed:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>She threw back the covers and leapt out of bed. </i></font><br><b>SONG</b><br><img src=""87508155.bmp""> [C] = <a href=""bword://cover version"">cover version</a><br><b>HIDING STH</b><br><img src=""E4EF9F06.bmp""> [C, usually sing.] <b>cover (for sth)</b> activities or behaviour that seem honest or true but that hide sb's real identity or feelings, or that hide sth illegal:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>His work as a civil servant was a cover for his activities as a spy.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Her over-confident attitude was a cover for her nervousness.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>It would only take one phone call to <b>blow their cover</b> (= make known their true identities and what they were really doing). </i></font><br><b>FOR SB'S WORK</b><br><img src=""BF95C188.bmp""> [U] the fact of sb doing another person's job when they are away or when there are not enough staff:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>It's the manager's job to organize cover for staff who are absent.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>Ambulance drivers provided only emergency cover during the dispute. </i></font><br>[<font color=""#47A1EA""><b> IDIOMS </b></font>]<br><b>break ˈcover</b><br>to leave a place that you have been hiding in, usually at a high speed<br><b>under ˈcover</b><br><img src=""9DB12AFC.bmp""> pretending to be sb else in order to do sth secretly:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>a police officer working under cover </i></font><br><img src=""7E3D5398.bmp""> under a structure that gives protection from the weather<br><b>under (the) cover of sth</b><br>hidden or protected by sth:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>Later, under cover of darkness, they crept into the house. </i></font><br><b>under separate ˈcover</b><br>(<font color=""green"">business</font>) in a separate envelope:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The information you requested is being forwarded to you under separate cover. </i></font><br>---more at judge verb<br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>cover<br> Middle English: from Old French covrir, from Latin cooperire, from co- (expressing intensive force) + operire to cover. The noun is partly a variant of covert.<br>"
courteous,"
cour·te·ous<br>/   ˈkɜːtiəs; <i>NAmE </i>   ˈkɜːrt-/<br> <font color=""blue""><i>adjective</i></font><br>polite, especially in a way that shows respect:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>a courteous young man  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>The hotel staff are friendly and courteous. </i></font><br><b> OPP </b> discourteous<br><font color=""#CC3300"">□cour·te·ous·ly</font> <font color=""blue""><i>adverb</i></font><br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>courteous<br> Middle English (meaning having manners fit for a royal court): from Old French corteis, based on Latin cohors yard, retinue. The change in the ending in the 16th cent. was due to association with words ending in -eous.<br>"
faculty,"
fac·ulty<br>/   ˈfæklti; <i>NAmE </i>   /<br> <font color=""blue""><i>noun</i></font> (pl. -ies)<br><img src=""9DB12AFC.bmp""> [C, usually pl.] any of the physical or mental abilities that a person is born with:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>the faculty of sight  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>She retained her mental faculties (= the ability to think and understand) until the day she died.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>to be <b>in full possession of your faculties</b> (= be able to speak, hear, see, understand, etc.) </i></font><br><img src=""7E3D5398.bmp""> [sing.] <b>faculty of / for (<font color=""green"">doing</font>) sth</b> (<font color=""green"">formal</font>) a particular ability for doing sth:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>the faculty of understanding complex issues  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>He had a faculty for seeing his own mistakes. </i></font><br><img src=""549ED5A0.bmp""> [C] a department or group of related departments in a college or university:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>the Faculty of Law  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>the Arts Faculty </i></font><br><img src=""89689BCF.bmp""> [C+sing./pl. v.] all the teachers in a faculty of a college or university:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>the Law School faculty  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>a faculty meeting  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>faculty members </i></font><br><img src=""0E558F21.bmp""> [C, U] (often the faculty) (<i>NAmE</i>) all the teachers of a particular university or college:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>faculty members </i></font><br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>faculty<br> late Middle English: from Old French faculte, from Latin facultas, from facilis easy, from facere make, do.<br>"
supreme,"
su·preme<br>/   suːˈpriːm; <i>NAmE </i>   ; <i>BrE</i> also    sjuː-; <i>NAmE </i>/<br> <font color=""blue""><i>adjective</i></font> [usually before noun]<br><img src=""9DB12AFC.bmp""> highest in rank or position:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>the Supreme Commander of the armed forces  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>the supreme champion  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>It is an event in which she <b>reigns supreme</b>. </i></font><br><img src=""7E3D5398.bmp""> very great or the greatest in degree:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>to make the <b>supreme sacrifice</b> (= die for what you believe in)  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>a supreme effort  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>She smiled with supreme confidence. </i></font><br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>supreme<br> late 15th cent. (in the sense highest): from Latin supremus, superlative of superus that is above, from super above.<br>"
improvise,"
im·pro·vise<br>/   ˈɪmprəvaɪz; <i>NAmE </i>   /<br> <font color=""blue""><i>verb</i></font><br><img src=""9DB12AFC.bmp""> to make or do sth using whatever is available, usually because you do not have what you really need:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>[v] There isn't much equipment. We're going to have to improvise.</i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>[vn] We improvised some shelves out of planks of wood and bricks. </i></font><br><img src=""7E3D5398.bmp""> <b>improvise (on sth)</b> to invent music, the words in a play, a statement, etc. while you are playing or speaking, instead of planning it in advance:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>[v] ‘It'll be ready some time next week, I expect,' she said, improvising.</i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>He improvised on the melody.</i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>[vn] an improvised speech </i></font><br><font color=""#CC3300"">□im·pro·visa·tion</font><br>/   ˌɪmprəvaɪˈzeɪʃn; <i>NAmE </i>   ɪmˌprɑːvəˈzeɪʃn/<br> <font color=""blue""><i>noun</i></font> [U, C]<br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>improvise<br> early 19th cent. (earlier (late 18th cent.) as improvisation): from French improviser or its source, Italian improvvisare, from improvviso extempore, from Latin improvisus unforeseen, based on provisus, past participle of providere make preparation for.<br>"
officiate,"
of·fi·ci·ate<br>/   əˈfɪʃieɪt; <i>NAmE </i>   /<br> <font color=""blue""><i>verb</i></font><br>[v] <b>officiate (at sth)</b> (<font color=""green"">formal</font>) to do the official duties at a public or religious ceremony<br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>officiate<br> mid 17th cent.: from medieval Latin officiare perform divine service, from officium performance of a task (in medieval Latin also office, divine service), based on opus work + facere do.<br>"
displays,"
dis·play<br>/   dɪˈspleɪ; <i>NAmE </i>   /<br> <font color=""blue""><i>verb</i></font>, <font color=""blue""><i>noun</i></font><br><font color=""blue"">￮ <i>verb</i></font> <b>¯ sth (to sb)</b><br><img src=""9DB12AFC.bmp""> [vn] to put sth in a place where people can see it easily; to show sth to people<br><font color=""#47A1EA""><b> SYN </b></font> exhibit:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The exhibition gives local artists an opportunity to display their work.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>She displayed her bruises for all to see. </i></font><br><img src=""7E3D5398.bmp""> [vn] to show signs of sth, especially a quality or feeling:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>I have rarely seen her display any sign of emotion.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>These statistics display a definite trend. </i></font><br><img src=""549ED5A0.bmp""> [vn] (of a computer, etc.) to show information:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>The screen will display the username in the top right-hand corner.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>This column displays the title of the mail message. </i></font><br><img src=""89689BCF.bmp""> [v] (<font color=""green"">technical</font>) (of male birds and animals) to show a special pattern of behaviour that is intended to attract a female bird or animal<br><font color=""blue"">￮ <i>noun</i></font><br><img src=""9DB12AFC.bmp""> an arrangement of things in a public place to inform or entertain people or advertise sth for sale:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>a beautiful floral display outside the Town Hall  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>a window display  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>a display cabinet </i></font><br><img src=""7E3D5398.bmp""> an act of performing a skill or of showing sth happening, in order to entertain:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>a firework display  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>a breathtaking display of aerobatics </i></font><br><img src=""549ED5A0.bmp""> an occasion when you show a particular quality, feeling or ability by the way that you behave:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>a display of affection / strength / wealth </i></font><br><img src=""89689BCF.bmp""> the words, pictures, etc. shown on a computer screen:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>a high resolution colour display </i></font><br>---see also <a href=""bword://liquid crystal display"">liquid crystal display</a>, VDU<br>[<font color=""#47A1EA""><b> IDIOMS </b></font>]<br><b>on diˈsplay</b><br>put in a place where people can look at it<br><font color=""#47A1EA""><b> SYN </b></font> on show:<br><img src=""8CB0DC57.png""><font color=""#004080""><i>Designs for the new sports hall are on display in the library.  </i></font><br><img src=""8CB0DC57.png""><font color=""#004080""><i>to put sth on <b>temporary / permanent display</b> </i></font><br><font color=""#F14B35""><b>WORD ORIGIN</b></font><br>display<br> Middle English (in the sense unfurl, unfold): from Old French despleier, from Latin displicare scatter, disperse (in medieval Latin unfold). Compare with deploy.<br>"
bill of sales,"
ˌbill of ˈsale <font color=""blue""><i>noun</i></font><br>(pl. bills of sale) (<font color=""green"">business</font>) an official document showing that sth has been bought<br>"
